name,expenditures,contributions,count
TEDDY JOE FAUST SR.,9193,13417,16
RANDALL SHEDD,10715,13350,19
ADAM GLENN RITCH,9917,13261,49
GARY DOBBS HEAD SR.,7558,13251,51
ADLINE CECELIA CLARKE,1792,13100,18
ORLANDO RAY WHITEHEAD SR.,12250,13021,34
DAVID COLSTON,18450,12600,13
RANDY WOOD,13261,12500,17
CAROLYN WALLACE,13157,12498,18
WESLEY SCOTT MOBLEY,14812,12318,27
APRIL C WEAVER,14828,12262,25
CHARLES LEON ELLIS JR.,9626,11942,43
BOBBY GENE HUMPHRYES JR.,11382,11596,10
CHRISTOPHER LEE BYRD,10445,11367,14
BARBARA BIGSBY BOYD,29660,11200,19
S. PHILLIP BAHAKEL,3504,11200,2
REGINA HARRIS MCDONALD,3650,11153,19
SUZELLE MARIE JOSEY,21687,11085,53
JASON SPENCER BLACK,8490,10872,27
WILLIAM JEFFERY PEACOCK,8376,10861,33
MICHAEL ADAM HUTCHINS,10812,10823,31
ROBERT THEODORE RUSS BAILEY,14386,10810,49
STANLEY GENE HILL,7018,10648,46
TAMMY L. IRONS,30017,10502,7
DENNIS FRANKLIN MEEKS,15960,10350,21
ALLEN FARLEY,7994,10150,14
JIMMY BRYAN POOL,19030,9995,41
TIJUANNA ADETUNJI,7606,9930,62
STEVE SMALL JR.,9134,9875,9
DARREN L FLOTT,8562,9765,16
HOBBY WALKER,8134,9730,10
PHILLIP H BROWN,5668,9677,20
PAUL LEPAGE BECKMAN JR.,11916,9650,11
KELVIN J LAWRENCE,8672,9500,12
BOBBY LEWIS,8866,9374,31
TIMOTHY DAVID ROPER,6399,9295,8
DARRIO MELTON,9350,9270,18
SHERI WOOD CARVER,8895,9258,28
JOEL BLANKENSHIP,8679,9080,33
WAYNE E BIGGS,7111,9026,25
SONYA PATTERSON,8226,9013,48
WILLIAM A BARNES,4785,8572,9
MARY B WINDOM,156202,8531,5
PATRICK SELLERS,7662,8505,13
DEBORAH HILL BIGGERS,8255,8409,31
